"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Blattodea.ord","Blattodea.Blaberidae","Blattodea.Blattidae","Blattodea.Cryptocercidae","Blattodea.Termitidae","Coleoptera.ord","Coleoptera.Carabidae","Coleoptera.Cerambycidae","Coleoptera.Cetoniidae","Coleoptera.Chrysomelidae","Coleoptera.Curculionidae","Coleoptera.Dytiscidae","Coleoptera.Lagriidae","Coleoptera.Scarabaeidae","Coleoptera.Staphylinidae","Coleoptera.Tenebrionidae","Dermaptera.ord","Diptera.ord","Diptera.Anisopodidae","Diptera.Ceratopogonidae","Diptera.Chironomidae","Diptera.Chloropidae","Diptera.Culicidae","Diptera.Hippoboscidae","Diptera.Muscidae","Diptera..Simuliidae","Diptera.Sphaeroceridae","Diptera.Tipulidae","Ephemeroptera.ord","Hemiptera.ord","Hemiptera.Cercopidae","Hemiptera.Cicadellidae","Hemiptera.Cicadidae","Hemiptera.Fulgoridae","Hemiptera.Margarodidae","Hemiptera.Pentatomidae","Hemiptera.Polyctenidae","Hymenoptera.ord","Hymenoptera.Formicidae","Isoptera.ord","Lepidoptera.ord","Lepidoptera.Castniidae","Lepidoptera.Crambidae","Lepidoptera.Elachistidae","Lepidoptera.Erebidae","Lepidoptera.Euteliidae","Lepidoptera.Geometridae","Lepidoptera.Hesperiidae","Lepidoptera.Hyblaeidae","Lepidoptera.Lasiocampidae","Lepidoptera.Limacodidae","Lepidoptera.Noctuidae","Lepidoptera.Nolidae","Lepidoptera.Notodontidae","Lepidoptera.Pyralidae","Lepidoptera.Saturniidae","Lepidoptera.Sphingidae","Lepidoptera.Tortricidae","Mantodea.ord","Mantodea.Mantidae","Neuroptera.ord","Neuroptera.Ascalaphidae","Neuroptera.Chrysopidae","Neuroptera.Mantispidae","Neuroptera.Myrmeleontidae","Odonata.ord","Orthoptera.ord","Orthoptera.Acrididae","Orthoptera.Gryllacrididae","Orthoptera.Gryllidae","Orthoptera.Tettigoniidae","Orthoptera.Tridactylidae","Psocodea.ord","Siphonaptera.ord","Trichoptera.ord"
"YIN010112009","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","grandis","Epomophorus_grandis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010112010","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","pusillus","Epomophorus_pusillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010112011","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","intermedius","Epomophorus_intermedius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010201001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Eidolinae","Eidolon","helvum","Eidolon_helvum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010201002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Eidolinae","Eidolon","dupreanum","Eidolon_dupreanum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010301001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","livingstonii","Pteropus_livingstonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010301002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","voeltzkowi","Pteropus_voeltzkowi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010301003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","rodricensis","Pteropus_rodricensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010301004","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","aldabrensis","Pteropus_aldabrensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010301005","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Pteropodinae","Pteropus","rufus","Pteropus_rufus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
