class,order,family,genus,species,taxon_name,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_n_or_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,dataset
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,paululus,Miniopterus paululus,-999,Philippine Long-fingered Bat,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,paululus,Miniopterus paululus,-999,Philippine Long-fingered Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,paululus,Miniopterus paululus,-999,Philippine Long-fingered Bat,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,paululus,Miniopterus paululus,-999,Philippine Long-fingered Bat,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,paululus,Miniopterus paululus,-999,Philippine Long-fingered Bat,639.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,paululus,Miniopterus paululus,-999,Philippine Long-fingered Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,paululus,Miniopterus paululus,-999,Philippine Long-fingered Bat,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,413.84,0.99,1,7.4,NA,132.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,8.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Borissenko and Kruskop, 2003"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Borissenko and Kruskop, 2003"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Borissenko and Kruskop, 2003"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,639.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,pusillus,Miniopterus pusillus,-999,Small Long-fingered Bat,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,robustior,Miniopterus robustior,-999,Loyalty Long-fingered Bat,NA,NA,NA,10.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,-999,Schreibers's Long-fingered Bat,742.46,0.99,NA,14.9,NA,91.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,-999,Schreibers's Long-fingered Bat,NA,1,1,10.43,NA,126.88,58.59,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,-999,Schreibers's Long-fingered Bat,666.44,0.99,1,11.46,14,182.5,60.19,2.86,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,-999,Schreibers's Long-fingered Bat,577,1,NA,13,22,100,66,2.8,12.5,NA,NA,NA,730,0.999315537,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Magalhaes and Costa, 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,-999,Schreibers's Long-fingered Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,-999,Schreibers's Long-fingered Bat,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carey, J.R. and D.S. Judge, 2002"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,-999,Schreibers's Long-fingered Bat,NA,NA,NA,NA,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weigl, R., 2005"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,-999,Schreibers's Long-fingered Bat,NA,NA,NA,10.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Savage et al., 2004"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,Miniopterus schreibersii,-999,Schreibers's Long-fingered Bat,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Savage et al., 2004"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,413.84,0.99,1,7.4,NA,132.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,639.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,shortridgei,Miniopterus shortridgei,-999,Shortridge's Long-fingered Bat,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Miniopterus,tristis,Miniopterus tristis,-999,Great Long-fingered Bat,NA,NA,NA,15.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,aenea,Murina aenea,-999,Bronze Tube-nosed Bat,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,aurata,Murina aurata,-999,Little Tube-nosed Bat,NA,NA,NA,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,cyclotis,Murina cyclotis,-999,Round-eared Tube-nosed Bat,NA,1.98,NA,9.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,cyclotis,Murina cyclotis,-999,Round-eared Tube-nosed Bat,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,cyclotis,Murina cyclotis,-999,Round-eared Tube-nosed Bat,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,cyclotis,Murina cyclotis,-999,Round-eared Tube-nosed Bat,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Meyers et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,cyclotis,Murina cyclotis,-999,Round-eared Tube-nosed Bat,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Nowak, Kunz, and Pierson, 1994"
Mammalia,Chiroptera,Vespertilionidae,Murina,cyclotis,Murina cyclotis,-999,Round-eared Tube-nosed Bat,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Nowak, Kunz, and Pierson, 1994"
Mammalia,Chiroptera,Vespertilionidae,Murina,cyclotis,Murina cyclotis,-999,Round-eared Tube-nosed Bat,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Nowak, Kunz, and Pierson, 1994"
Mammalia,Chiroptera,Vespertilionidae,Murina,florium,Murina florium,-999,Flores Tube-nosed Bat,NA,NA,NA,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,fusca,Murina fusca,-999,Dusky Tube-nosed Bat,NA,NA,NA,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,grisea,Murina grisea,-999,Peters's Tube-nosed Bat,NA,NA,NA,5.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,hilgendorfi,Murina hilgendorfi,-999,Hilgendorf's Tube-nosed Bat,NA,NA,NA,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,hilgendorfi,Murina hilgendorfi,-999,Hilgendorf's Tube-nosed Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Vespertilionidae,Murina,hilgendorfi,Murina hilgendorfi,-999,Hilgendorf's Tube-nosed Bat,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Vespertilionidae,Murina,hilgendorfi,Murina hilgendorfi,-999,Hilgendorf's Tube-nosed Bat,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Vespertilionidae,Murina,hilgendorfi,Murina hilgendorfi,-999,Hilgendorf's Tube-nosed Bat,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Vespertilionidae,Murina,hilgendorfi,Murina hilgendorfi,-999,Hilgendorf's Tube-nosed Bat,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Vespertilionidae,Murina,huttoni,Murina huttoni,-999,Hutton's Tube-nosed Bat,NA,NA,NA,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,leucogaster,Murina leucogaster,-999,Greater Tube-nosed Bat,NA,NA,NA,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,puta,Murina puta,-999,Taiwanese Tube-nosed Bat,NA,NA,NA,6.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,rozendaali,Murina rozendaali,-999,Gilded Tube-nosed Bat,NA,NA,NA,5.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,silvatica,Murina silvatica,-999,Forest Tube-nosed Bat,NA,NA,NA,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,silvatica,Murina silvatica,-999,Forest Tube-nosed Bat,NA,NA,NA,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,silvatica,Murina silvatica,-999,Forest Tube-nosed Bat,NA,NA,NA,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,suilla,Murina suilla,-999,Brown Tube-nosed Bat,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,tenebrosa,Murina tenebrosa,-999,Gloomy Tube-nosed Bat,NA,NA,NA,6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,tubinaris,Murina tubinaris,-999,Scully's Tube-nosed Bat,NA,NA,NA,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,tubinaris,Murina tubinaris,-999,Scully's Tube-nosed Bat,NA,1.37,NA,5.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,ussuriensis,Murina ussuriensis,-999,Ussurian Tube-nosed Bat,NA,NA,NA,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Murina,ussuriensis,Murina ussuriensis,-999,Ussurian Tube-nosed Bat,NA,NA,NA,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Myotis,abei,Myotis abei,-999,Sakhalin Myotis,NA,NA,NA,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Myotis,abei,Myotis abei,-999,Sakhalin Myotis,730,NA,NA,8.5,28,54,NA,2.09,NA,NA,NA,NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Magalhaes and Costa, 2009"
Mammalia,Chiroptera,Vespertilionidae,Myotis,abei,Myotis abei,-999,Sakhalin Myotis,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carey, J.R. and D.S. Judge, 2002"
Mammalia,Chiroptera,Vespertilionidae,Myotis,abei,Myotis abei,-999,Sakhalin Myotis,NA,NA,NA,NA,0.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weigl, R., 2005"
Mammalia,Chiroptera,Vespertilionidae,Myotis,adversus,Myotis adversus,-999,Large-footed Myotis,231.09,1,2.5,10.41,NA,NA,56.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Myotis,aelleni,Myotis aelleni,-999,Southern Myotis,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Myotis,albescens,Myotis albescens,-999,Silver-tipped Myotis,152.76,0.98,2.5,5.69,NA,93.18,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Vespertilionidae,Myotis,albescens,Myotis albescens,-999,Silver-tipped Myotis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
