Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,taxon_name,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source
Saccopteryx_canescens,Chiroptera,Emballonuridae,Saccopteryx,canescens,Saccopteryx canescens,0,0,0,1,Taxonomic,PHYLACINE 1.2,3.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Saccopteryx_gymnura,Chiroptera,Emballonuridae,Saccopteryx,gymnura,Saccopteryx gymnura,0,0,0,1,Taxonomic,PHYLACINE 1.2,4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Saccopteryx_leptura,Chiroptera,Emballonuridae,Saccopteryx,leptura,Saccopteryx leptura,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Sauromys_petrophilus,Chiroptera,Molossidae,Sauromys,petrophilus,Sauromys petrophilus,0,0,0,1,Taxonomic,PHYLACINE 1.2,13.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Scleronycteris_ega,Chiroptera,Phyllostomidae,Scleronycteris,ega,Scleronycteris ega,0,0,0,1,Taxonomic,PHYLACINE 1.2,49,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,70,0,30,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Scoteanax_rueppellii,Chiroptera,Vespertilionidae,Scoteanax,rueppellii,Scoteanax rueppellii,0,0,0,1,Taxonomic,PHYLACINE 1.2,26.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Scotoecus_albofuscus,Chiroptera,Vespertilionidae,Scotoecus,albofuscus,Scotoecus albofuscus,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Scotoecus_hirundo,Chiroptera,Vespertilionidae,Scotoecus,hirundo,Scotoecus hirundo,0,0,0,1,Taxonomic,PHYLACINE 1.2,9.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Scotoecus_pallidus,Chiroptera,Vespertilionidae,Scotoecus,pallidus,Scotoecus pallidus,0,0,0,1,Taxonomic,PHYLACINE 1.2,6.9,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Scotomanes_ornatus,Chiroptera,Vespertilionidae,Scotomanes,ornatus,Scotomanes ornatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,25,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
